,bldg_Building_gml_id,damage_value_building,damage_value_contents,damage_value_total
167,bldg_fbc28932-d13c-4a20-ac97-fea6a064e8eb,0.0,0.0,0.0
168,bldg_382e1d88-2bfa-4327-aff4-cedfb9d57f8c,0.0,0.0,0.0
169,bldg_df356231-a7fa-4f5b-ad91-a59a90e66fe1,0.0,0.0,0.0
170,bldg_00865887-705a-4d9c-ae0b-eedc0ab5dd6e,0.0,0.0,0.0
171,bldg_64fb5ff4-1309-4ec3-be3d-a1dd5bad9af6,0.0,0.0,0.0
172,bldg_d23fa293-2605-4595-ba1a-74c1eada3e29,0.0,0.0,0.0
173,bldg_99b83183-5d3b-4060-8e24-b287eaef6b91,0.0,0.0,0.0
174,bldg_34806904-06fa-4f9d-affc-658ceee70eb1,0.0,0.0,0.0
175,bldg_cdc058a3-2e3c-4168-af1d-06061bd2a79f,0.0,0.0,0.0
176,bldg_53e73715-59e6-4245-a8d7-2e95afe84012,0.0,0.0,0.0
177,bldg_ed01881d-310e-4457-926a-5c9a61a08737,0.0,0.0,0.0
178,bldg_a34d2806-271a-404b-8540-8864182dadc3,0.0,0.0,0.0
179,bldg_2352bccf-ec72-4251-8a1a-8e07f53dd8c6,0.0,0.0,0.0
180,bldg_ee4c905a-6cde-404f-92a0-5ed6bcd59af4,0.0,0.0,0.0
181,bldg_6145a55c-ff13-46ab-855b-dc330ca30421,0.0,0.0,0.0
182,bldg_60b7fc8a-71a4-4e1d-8817-06fafe3eab0b,0.0,0.0,0.0
183,bldg_1c000431-a1d0-467b-9431-30369a5b9d50,0.0,0.0,0.0
184,bldg_ce8101bc-a429-46fc-94f2-56acf2907ecc,0.0,0.0,0.0
185,bldg_4509915c-cf2f-48ea-97d9-efba8a3423ab,0.0,0.0,0.0
186,bldg_f315982b-093b-4a2a-99fd-8cc53c84475d,0.0,0.0,0.0
187,bldg_d5564225-3953-4bf9-8c4d-a9a0e779fe64,0.0,0.0,0.0
188,bldg_fd3c7c86-b80a-43a1-8df1-2322b33a3ca2,0.0,0.0,0.0
189,bldg_ddf32c88-ec72-4478-adda-9fca26829778,0.0,0.0,0.0
190,bldg_4b6bc5d2-2555-422a-91c3-b7d4e684fc33,0.0,0.0,0.0
191,bldg_d374f170-0ed4-474b-a305-d76c6aed29be,0.0,0.0,0.0
192,bldg_790d87cb-4de6-4388-b13e-b089f6c7312e,0.0,0.0,0.0
193,bldg_2643b5bc-5bc0-408b-9151-b6cc089bd9a2,0.0,0.0,0.0
194,bldg_80e5fd3a-8c15-405a-baeb-86d05112ce8b,0.0,0.0,0.0
195,bldg_750bc477-9577-478e-8b03-24639e4cf0b6,0.0,0.0,0.0
196,bldg_1c91121f-41db-4fe6-b30c-e254416160c1,0.0,0.0,0.0
197,bldg_7f1096c4-0101-490c-9cb1-a07ab5648ebc,0.0,0.0,0.0
198,bldg_98f61036-55f6-4fb5-81ce-a538d01bc2c8,0.0,0.0,0.0
199,bldg_e92a02b9-220e-4d97-84fd-82bcb5736f2f,0.0,0.0,0.0
200,bldg_b26b509a-f23f-43dc-a3ef-e687b052a089,0.0,0.0,0.0
201,bldg_d65e684a-0bac-4713-9616-927ba39321d3,0.0,0.0,0.0
202,bldg_ce13e169-137f-4390-9838-ba1a4217c50a,0.0,0.0,0.0
203,bldg_00e067d9-6618-4261-b225-2ca292338ed1,0.0,0.0,0.0
204,bldg_eafa8840-83e6-4e68-90ee-4eeb60d6438e,0.0,0.0,0.0
205,bldg_b512669b-b55f-4d23-9a04-011ab39c155b,0.0,0.0,0.0
206,bldg_8551c54e-70de-4c8c-9273-df410cae7813,0.0,0.0,0.0
207,bldg_a9702510-1b7f-4a76-b517-2496f3d2fe27,0.0,0.0,0.0
208,bldg_eb5df4dd-57b4-472e-80ed-7b96eb9044ae,0.0,0.0,0.0
209,bldg_37fadd52-0a87-412a-8e0b-499969b4d3ce,0.0,0.0,0.0
